CosThetajj	Ejj	Emu	EventWeight	Mmiss	PTjj	PTmiss	PTmu
-0.452181143431	194.712605881	92.150038813	259.30128	175.882575949	159.832433202	120.385838717	44.4659183914
-0.992806070334	238.633768997	59.5126850949	259.30128	89.2323545297	27.1422108582	54.7016197739	28.1025192152
-0.988745626703	229.56561941	138.478403754	259.30128	95.3974996704	32.1708647192	38.9212985815	47.2342941566
-0.98632034627	232.5166678	27.5697878096	259.30128	32.0070106023	36.1294158315	18.8966739107	18.053643659
-0.987958253596	236.122120538	49.8874046812	259.30128	108.082762727	34.4055308963	24.2032163508	33.9018772249
-0.994611280048	240.718112814	114.003592141	259.30128	85.5010910897	23.4253011589	34.5428916788	18.6141306614
-0.783427529493	88.5082585738	16.1055962065	259.30128	392.391633347	21.103871219	36.0731176346	14.9777955363
-0.659437286007	248.790994774	159.183753263	259.30128	15.8957205493	177.543004727	60.6626226787	132.388788925
-0.903016837701	247.503982797	10.1578317665	259.30128	34.4374733725	100.640212085	104.77227514	9.22734890828
-0.992015528422	245.817443781	154.139117069	259.30128	43.1897536583	29.1262873367	44.8312518804	31.9654268053
-0.997792592272	254.365232996	30.2663434027	259.30128	0.00924153538535	16.004617345	1.92268767063	16.8906056866
-0.542665348761	248.983761926	164.740609332	259.30128	19.7503510767	198.251931779	66.7946911087	145.545960768
-0.929292892917	245.246987742	28.8116104197	259.30128	52.0950340052	85.9133232239	68.0250631257	27.9232757221
